year_month,folks,hop,sendi,voru,alls
2018-07,1687,7,141,41,1876
2018-08,1465,13,129,35,1642
2018-09,935,11,139,23,1108
2018-10,804,12,117,47,980
2018-11,721,6,160,38,925
2018-12,482,3,94,27,606
2019-01,847,14,131,26,1018
2019-02,801,8,94,29,932
2019-03,1074,7,156,25,1262
2019-04,1201,2,134,21,1358
2019-05,2013,4,148,32,2197
2019-06,1359,3,100,24,1486
2019-07,1025,0,87,39,1151
2019-08,803,9,100,24,936
2019-09,717,8,101,18,844
2019-10,661,13,109,23,806
2019-11,642,8,91,20,761
2019-12,587,3,112,23,725
2020-01,710,4,129,23,866
